"lat","lon","code","name","elev","RAINC","BVTGM","REHUM","SRPWM","WSPDM","CRLVM","TEMPM","SNOWM","PRSTM","WDIRP","link_rain","link_idr","link_temp","link_photo"
"44.35453","9.20928","RAPL","Rapallo","40","3","2","3","0","0","0","3","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=RAPL?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=RAPL?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazRAPL?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazRAPL?para=idr"
"44.08325","7.87331","CNAV","Colle di Nava","927","3","3","0","0","0","0","3","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=CNAV?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=CNAV?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazCNAV?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazCNAV?para=idr"
"44.04952","7.91473","PTEC","Pieve di Teco","263","3","3","3","0","0","0","3","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=PTEC?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=PTEC?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazPTEC?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazPTEC?para=idr"
"44.3062","8.48305","INSV","Savona - Istituto Nautico","24","3","3","3","3","3","0","3","0","3","3","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=INSV?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=INSV?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazINSV?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazINSV?para=idr"
"44.46112","9.38773","GIAC","Giacopiane - Lago","1030","3","3","3","3","3","0","3","0","3","3","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=GIAC?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=GIAC?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazGIAC?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazGIAC?para=idr"
"44.26434","9.73698","SZIG","Sero' di Zignago","580","3","2","0","0","0","0","3","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=SZIG?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=SZIG?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazSZIG?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazSZIG?para=idr"
"44.31091","9.44102","MDOM","Monte Domenico","175","3","3","0","0","0","0","0","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=MDOM?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=MDOM?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazMDOM?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazMDOM?para=idr"
"44.42107","9.32194","CICR","Cichero","615","3","3","3","0","3","0","3","0","0","3","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=CICR?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=CICR?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazCICR?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazCICR?para=idr"
"44.40681","9.53384","SCUR","Scurtabo'","685","3","3","0","0","0","0","3","3","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=SCUR?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=SCUR?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazSCUR?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazSCUR?para=idr"
"44.22903","10.0683","FIVI","Fivizzano","203","0","0","0","0","0","0","0","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=FIVI?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=FIVI?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazFIVI?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazFIVI?para=idr"
"44.57129","8.94892","BUSA","Busalla","358","3","0","0","0","0","0","3","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=BUSA?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=BUSA?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazBUSA?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazBUSA?para=idr"
"44.13202","8.11888","CSRB","Castelvecchio di R. B.","432","3","3","0","0","0","0","3","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=CSRB?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=CSRB?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazCSRB?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazCSRB?para=idr"
"44.36652","9.95572","RSIG","Rocca Sigillina","480","0","0","0","0","0","0","0","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=RSIG?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=RSIG?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazRSIG?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazRSIG?para=idr"
"43.9396","7.60808","GOUT","Sella di Gouta","1212","3","3","3","0","0","0","3","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=GOUT?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=GOUT?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazGOUT?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazGOUT?para=idr"
"44.04882","8.21077","MOBR","Albenga - Molino Branca","6","3","3","0","0","0","3","3","0","3","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=MOBR?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=MOBR?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazMOBR?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazMOBR?para=idr"
"44.4035","8.64766","LERC","Lerca","110","3","3","0","0","0","0","3","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=LERC?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=LERC?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazLERC?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazLERC?para=idr"
"43.84803","7.62177","BNUO","Borgonuovo","115","3","3","3","3","3","0","3","0","0","3","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=BNUO?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=BNUO?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazBNUO?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazBNUO?para=idr"
"44.4883","9.3408","CABN","Cabanne","809","3","0","0","0","0","3","3","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=CABN?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=CABN?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazCABN?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazCABN?para=idr"
"43.96126","7.68502","BUGG","Buggio","430","0","0","0","0","0","0","0","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=BUGG?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=BUGG?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazBUGG?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazBUGG?para=idr"
"43.8732","7.54478","AIRL","Airole","110","3","3","0","0","0","3","3","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=AIRL?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=AIRL?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazAIRL?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazAIRL?para=idr"
"43.87957","8.01652","IMPE","Imperia - Oss. Meteosismico","71","3","3","0","0","3","0","3","0","0","3","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=IMPE?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=IMPE?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazIMPE?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazIMPE?para=idr"
"44.40035","8.94591","GECF","Genova - Centro Funzionale","30","3","3","3","3","0","0","3","0","3","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=GECF?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=GECF?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazGECF?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazGECF?para=idr"
"44.4029","9.09318","FFRE","Fontana Fresca","791","3","3","0","0","3","0","3","0","0","3","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=FFRE?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=FFRE?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazFFRE?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazFFRE?para=idr"
"44.44247","8.84485","MGAZ","Santuario Monte Gazzo","310","3","3","0","0","0","0","3","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=MGAZ?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=MGAZ?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazMGAZ?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazMGAZ?para=idr"
"43.92167","8.177","BOCM","BOA Capo Mele","0","0","0","3","0","3","0","3","0","3","3","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=BOCM?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=BOCM?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazBOCM?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazBOCM?para=idr"
"44.41681","9.00911","PREM","Premanico","234","3","3","0","0","0","0","3","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=PREM?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=PREM?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazPREM?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazPREM?para=idr"
"44.05021","10.01409","MARI","Marinella di Sarzana","2","3","3","0","0","0","0","3","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=MARI?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=MARI?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazMARI?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazMARI?para=idr"
"44.11227","9.96546","SARZ","Sarzana","26","0","0","0","0","0","0","0","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=SARZ?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=SARZ?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazSARZ?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazSARZ?para=idr"
"44.44076","9.04717","LPRS","La Presa","150","3","3","0","0","0","3","0","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=LPRS?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=LPRS?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazLPRS?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazLPRS?para=idr"
"44.35048","9.48082","STAL","Statale","593","3","3","0","0","0","0","3","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=STAL?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=STAL?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazSTAL?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazSTAL?para=idr"
"44.06521","7.73733","MOTR","Monesi","1450","0","0","0","0","0","0","0","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=MOTR?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=MOTR?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazMOTR?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazMOTR?para=idr"
"44.47507","9.00714","CRET","Creto","630","3","3","0","0","0","0","3","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=CRET?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=CRET?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazCRET?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazCRET?para=idr"
"44.2908","9.95065","VFLI","Villafranca Lunigiana","133","3","0","0","0","0","0","3","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=VFLI?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=VFLI?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazVFLI?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazVFLI?para=idr"
"43.83551","7.81883","ARME","Valle Armea - Ponte","41","0","3","0","0","0","3","0","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=ARME?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=ARME?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazARME?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazARME?para=idr"
"44.10379","10.00705","CSMG","Castelnuovo Magra","96","3","2","3","3","0","0","3","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=CSMG?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=CSMG?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazCSMG?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazCSMG?para=idr"
"44.17143","9.60677","LEVN","Levanto","6","3","2","3","0","3","0","3","0","0","3","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=LEVN?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=LEVN?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazLEVN?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazLEVN?para=idr"
"44.43227","8.8246","PEGL","Genova - Pegli","69","3","3","0","0","0","0","3","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=PEGL?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=PEGL?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazPEGL?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazPEGL?para=idr"
"44.47181","9.9284","PCIS","Passo Della Cisa","1035","0","0","0","0","0","0","0","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=PCIS?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=PCIS?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazPCIS?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazPCIS?para=idr"
"44.28425","8.37136","MNTA","Montagna","253","3","3","3","0","0","0","3","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=MNTA?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=MNTA?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazMNTA?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazMNTA?para=idr"
"44.07129","9.93842","MROC","Monte Rocchetta","405","3","3","3","3","3","0","3","0","0","3","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=MROC?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=MROC?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazMROC?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazMROC?para=idr"
"44.29669","9.3735","CAVI","Cavi di Lavagna","110","3","3","3","3","3","0","3","0","0","3","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=CAVI?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=CAVI?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazCAVI?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazCAVI?para=idr"
"44.43439","8.96109","PCAR","Genova - Gavette","30","3","3","0","0","0","0","0","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=PCAR?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=PCAR?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazPCAR?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazPCAR?para=idr"
"44.14665","8.26235","PLIG","Castellari","91","3","3","3","3","3","0","3","0","0","3","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=PLIG?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=PLIG?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazPLIG?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazPLIG?para=idr"
"44.05719","8.04134","ONZO","Onzo - Ponterotto","115","3","3","0","0","0","0","3","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=ONZO?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=ONZO?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazONZO?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazONZO?para=idr"
"44.34006","9.41003","CAMN","Caminata","90","0","3","0","0","0","3","0","0","0","0","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=CAMN?para=rai","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/esempio.html?staz=CAMN?para=idr","http://osservatoriometeoliguria.arpal.gov.it/~omirl/WEB/png_page.html?stazCAMN?para=tem","http://osservatoriometeoliguria.arpal.gov.it//~omirl/WEB/foto_page.html?stazCAMN?para=idr"
